Month,Asset Name,Opening Price,Closing Price,Highest Price,Lowest Price,Date Highest Price,Date Lowest Price,Monthly Percent Change
2005-03,"AB Core Opportunities Fund, Inc",5.546552658081055,5.423053741455078,5.5937724113464355,5.372200965881348,2005-03-04 00:00:00-05:00,2005-03-29 00:00:00-05:00,
2005-04,"AB Core Opportunities Fund, Inc",5.361305236816406,5.274128437042236,5.466641426086426,5.216011047363281,2005-04-12 00:00:00-04:00,2005-04-20 00:00:00-04:00,-2.746152103830768
2005-05,"AB Core Opportunities Fund, Inc",5.306819438934326,5.441215515136719,5.481171607971191,5.277760028839111,2005-05-23 00:00:00-04:00,2005-05-13 00:00:00-04:00,3.16805098868973
2005-06,"AB Core Opportunities Fund, Inc",5.477538585662842,5.423053741455078,5.521126747131348,5.401259899139404,2005-06-17 00:00:00-04:00,2005-06-24 00:00:00-04:00,-0.33378155360905826
2005-07,"AB Core Opportunities Fund, Inc",5.433950901031494,5.5683465003967285,5.60467004776001,5.426685333251953,2005-07-28 00:00:00-04:00,2005-07-06 00:00:00-04:00,2.6791687095224503
2005-08,"AB Core Opportunities Fund, Inc",5.557449817657471,5.492067813873291,5.619199275970459,5.463009357452393,2005-08-03 00:00:00-04:00,2005-08-30 00:00:00-04:00,-1.3698624271676119
2005-09,"AB Core Opportunities Fund, Inc",5.466641426086426,5.397627353668213,5.521126747131348,5.303187370300293,2005-09-06 00:00:00-04:00,2005-09-21 00:00:00-04:00,-1.7195792806220633
2005-10,"AB Core Opportunities Fund, Inc",5.375833511352539,5.393994331359863,5.393994331359863,5.223276615142822,2005-10-31 00:00:00-05:00,2005-10-12 00:00:00-04:00,-0.06730776451028264
2005-11,"AB Core Opportunities Fund, Inc",5.404892444610596,5.619199275970459,5.691845417022705,5.404892444610596,2005-11-23 00:00:00-05:00,2005-11-01 00:00:00-05:00,4.175105325960171
2005-12,"AB Core Opportunities Fund, Inc",5.684581279754639,5.604973316192627,5.695478439331055,5.604973316192627,2005-12-14 00:00:00-05:00,2005-12-30 00:00:00-05:00,-0.2531670275276898
2006-01,"AB Core Opportunities Fund, Inc",5.662875175476074,5.666735649108887,5.770960330963135,5.593391418457031,2006-01-11 00:00:00-05:00,2006-01-20 00:00:00-05:00,1.1019201953706093
2006-02,"AB Core Opportunities Fund, Inc",5.70147705078125,5.720778465270996,5.782540321350098,5.612692832946777,2006-02-22 00:00:00-05:00,2006-02-07 00:00:00-05:00,0.953685146237726
2006-03,"AB Core Opportunities Fund, Inc",5.770960330963135,5.763239860534668,5.844303131103516,5.7053375244140625,2006-03-20 00:00:00-05:00,2006-03-06 00:00:00-05:00,0.7422310708488533
2006-04,"AB Core Opportunities Fund, Inc",5.767099857330322,5.797982692718506,5.825003623962402,5.662875175476074,2006-04-05 00:00:00-04:00,2006-04-17 00:00:00-04:00,0.6028350897166135
2006-05,"AB Core Opportunities Fund, Inc",5.774820327758789,5.562511444091797,5.867464065551758,5.527769565582275,2006-05-09 00:00:00-04:00,2006-05-24 00:00:00-04:00,-4.0612616681734774
